%We don't separate training for testing here since we use fold evaluation 10 levels. Generated by p5.cpp
@relation whole_set_p6
@attribute word string
@attribute d1 integer
@attribute d2 integer
@attribute vowels integer
@attribute c1 {yes,no}
@attribute c2 {yes,no}
@attribute c3 {yes,no}
@attribute c4 {yes,no}
@attribute c5 {yes,no}
@attribute c6 {yes,no}
@attribute c7 {yes,no}
@attribute c8 {yes,no}
@attribute c9 {yes,no}
@attribute c10 {yes,no}
@attribute c11 {yes,no}
@attribute w_length integer
@attribute v_percentage real
@attribute three_consonants {yes,no}
@attribute two_vowels {yes,no}
@attribute has_x {yes,no}
@attribute alternada {yes,no}
@attribute has_h {yes,no}
@attribute has_double_letter {yes,no}
@attribute webhits integer
@attribute has_o_and_u {yes,no}
@attribute has_ua {yes,no}
@attribute difficult {yes,no}
@data

"a jugar", 0, 11, 3, no, yes, no, no, no, no, no, no, no, no, no, 7, 0.428571, no, no, no, no, no, no, 42900000, no, no, yes
"absorber", 8, 36, 3, yes, no, no, no, no, no, no, no, yes, no, no, 8, 0.375, no, no, no, no, no, no, 62000000, no, no, yes
"accesibilidad", 1, 4, 6, no, no, no, no, no, no, no, no, yes, no, no, 13, 0.461538, no, no, no, no, no, yes, 174000000, no, no, yes
"acompaña", 11, 48, 4, no, no, no, no, no, no, no, no, no, no, no, 8, 0.5, no, no, no, no, no, no, 53900000, no, no, yes
"adrede", 2, 51, 3, no, no, no, no, no, no, no, no, yes, no, no, 6, 0.5, no, no, no, no, no, no, 1600000, no, no, yes
"agujero", 9, 67, 4, no, yes, no, no, no, no, no, no, no, no, no, 7, 0.571429, no, no, no, yes, no, no, 21500000, yes, no, yes
"ayer", 11, 246, 2, no, no, no, no, yes, no, no, no, no, no, no, 4, 0.5, no, no, no, yes, no, no, 470000000, no, no, yes
"azul", 12, 121, 2, no, no, no, no, no, no, no, no, no, no, no, 4, 0.5, no, no, no, yes, no, no, 306000000, no, no, yes
"año", 27, 516, 2, no, no, no, no, no, no, no, no, no, no, no, 3, 0.666667, no, no, no, yes, no, no, 860000000, no, no, yes
